F_RING,YEAR,EXP.INC,GROUP,CS,CS_sc,brood_id,egg_index,HATCHED
DD85029,2023,Control,CONCON,7,0.6811298321813386,DD85029_2023_FA48A_51,5,1
DD85029,2023,Control,CONCON,7,0.6811298321813386,DD85029_2023_FA48A_51,6,1
DD85029,2023,Control,CONCON,7,0.6811298321813386,DD85029_2023_FA48A_51,7,0
DC57534,2023,Heated,EXPCON,6,-0.9141479326644292,DC57534_2023_FA7A_50,1,1
DC57534,2023,Heated,EXPCON,6,-0.9141479326644292,DC57534_2023_FA7A_50,2,1
DC57534,2023,Heated,EXPCON,6,-0.9141479326644292,DC57534_2023_FA7A_50,3,1
DC57534,2023,Heated,EXPCON,6,-0.9141479326644292,DC57534_2023_FA7A_50,4,1
DC57534,2023,Heated,EXPCON,6,-0.9141479326644292,DC57534_2023_FA7A_50,5,1
DC57534,2023,Heated,EXPCON,6,-0.9141479326644292,DC57534_2023_FA7A_50,6,0
FK12B_2023,2023,Heated,EXPCON,6,-0.9141479326644292,FK12B_2023_2023_FK12B_49,1,1
FK12B_2023,2023,Heated,EXPCON,6,-0.9141479326644292,FK12B_2023_2023_FK12B_49,2,1
FK12B_2023,2023,Heated,EXPCON,6,-0.9141479326644292,FK12B_2023_2023_FK12B_49,3,1
FK12B_2023,2023,Heated,EXPCON,6,-0.9141479326644292,FK12B_2023_2023_FK12B_49,4,1
FK12B_2023,2023,Heated,EXPCON,6,-0.9141479326644292,FK12B_2023_2023_FK12B_49,5,0
FK12B_2023,2023,Heated,EXPCON,6,-0.9141479326644292,FK12B_2023_2023_FK12B_49,6,0
DD82917,2023,Control,CONCON,6,-0.9141479326644292,DD82917_2023_FK12E_51,1,1
DD82917,2023,Control,CONCON,6,-0.9141479326644292,DD82917_2023_FK12E_51,2,1
DD82917,2023,Control,CONCON,6,-0.9141479326644292,DD82917_2023_FK12E_51,3,1
DD82917,2023,Control,CONCON,6,-0.9141479326644292,DD82917_2023_FK12E_51,4,1
DD82917,2023,Control,CONCON,6,-0.9141479326644292,DD82917_2023_FK12E_51,5,1
DD82917,2023,Control,CONCON,6,-0.9141479326644292,DD82917_2023_FK12E_51,6,1
DC54801,2023,Heated,EXPEXP,6,-0.9141479326644292,DC54801_2023_FK13D_51,1,1
DC54801,2023,Heated,EXPEXP,6,-0.9141479326644292,DC54801_2023_FK13D_51,2,1
DC54801,2023,Heated,EXPEXP,6,-0.9141479326644292,DC54801_2023_FK13D_51,3,1
DC54801,2023,Heated,EXPEXP,6,-0.9141479326644292,DC54801_2023_FK13D_51,4,1
DC54801,2023,Heated,EXPEXP,6,-0.9141479326644292,DC54801_2023_FK13D_51,5,1
